nsd_title,nsd_doc_modified_ts,ai_current_state_keyed_name,nsd_mime_type,ai_modified_by_id_keyed_name,ai_manufacturer_keyed_name,score,nsd_con_name,ai_team_id,ai_classification,ai_id,ai_native_file_type,ai_native_file,nsd_id,nsd_con_type,nsd_acl_view,ai_config_id,ai_native_file_keyed_name,ai_team_id_keyed_name,ai_change_reason,nsd_url,nsd_url_view,nsd_doc_created_ts,nsd_doc_type,ai_created_by_id_keyed_name,nsd_description,ai_permission_id,nsd_is_latest,ai_major_rev,nsd_acl_preview,nsd_rel_type,ai_viewable_file_type,ai_item_number,ai_owned_by_id_keyed_name,ai_viewable_file_keyed_name,nsd_file_name,nsd_file_size,ai_related_id_keyed_name,nsd_crawl_type,nsd_doc_hash,nsd_content,_version_,ai_viewable_file,nsd_parent_id,nsd_crawl_ts,nsd_name,nsd_version,nsd_is_parent,ai_managed_by_id_keyed_name
D-24811 StepStruder MK7,2015-02-25T01:49:33Z,Preliminary,,Innovator Admin,,0.999001,DEMO10,,Assembly,3E3FFE4C084441DE818967E4E7125288,,,AI-F0B1CA0B9F5B40B189EB882FBFCCC222,Aras Innovator,"AI-56A96DA9E981481688563E2D14D5D878,AI-F802A6FF29494B9F8F0D31469D48C756,AI-59C3B3567DA441529BB265886514C907,AI-2618D6F5A90949BAA7E920D1B04C7EE1,AI-66022731E81D4040A155F13CD083826A,AI-DBA5D86402BF43D5976854B8B48FCDD1,AI-577FB281D524463B95151E38068608C4,AI-B32BD81D1AD04207BF1E61E39A4E0E13",F0B1CA0B9F5B40B189EB882FBFCCC222,,,,,http://localhost/InnovatorServer/client/default.aspx?StartItem=Part%3A3E3FFE4C084441DE818967E4E7125288,2012-03-17T02:26:32Z,Part,Terry Adams,"Changed to check update of is_latest field
Rev 16",5C07EB829D4241F6BB884952960FAF58,true,B,AI-B754B1A4D760411CB5112C4350E036C5,,,D-24811,Innovator Admin,,,,,Full,a9546dc75bd3cce019ce1234ef8eacab,,1506787204546953218,,,2015-07-15T18:17:32Z,StepStruder MK7,16,false,Demo User
DocFile-100 Test Document - File Results,2015-02-21T19:35:46Z,Preliminary,,Innovator Admin,,0.998004,DEMO10,,,F814487475104C16B093FAF0D95B4BD7,,,AI-F814487475104C16B093FAF0D95B4BD7,Aras Innovator,"AI-56A96DA9E981481688563E2D14D5D878,AI-59C3B3567DA441529BB265886514C907,AI-2618D6F5A90949BAA7E920D1B04C7EE1,AI-66022731E81D4040A155F13CD083826A,AI-DBA5D86402BF43D5976854B8B48FCDD1,AI-B32BD81D1AD04207BF1E61E39A4E0E13",F814487475104C16B093FAF0D95B4BD7,,,,,http://localhost/InnovatorServer/client/default.aspx?StartItem=Part%3AF814487475104C16B093FAF0D95B4BD7,2015-02-21T19:35:46Z,Part,Innovator Admin,Common Text,5C07EB829D4241F6BB884952960FAF58,true,A,AI-B754B1A4D760411CB5112C4350E036C5,,,DocFile-100,,,,,,Full,31e1a24255eaaaab2ab641b4d988426b,,1506787210283712512,,,2015-07-15T18:17:32Z,Test Document - File Results,1,false,
12347 Mike Perm Test,2014-05-05T15:56:49Z,Preliminary,,Innovator Admin,,0.9425071,DEMO10,,,1AB248CB4A094A639B6DFF91A2B45CB3,,,AI-1AB248CB4A094A639B6DFF91A2B45CB3,Aras Innovator,"AI-56A96DA9E981481688563E2D14D5D878,AI-59C3B3567DA441529BB265886514C907,AI-2618D6F5A90949BAA7E920D1B04C7EE1,AI-66022731E81D4040A155F13CD083826A,AI-DBA5D86402BF43D5976854B8B48FCDD1,AI-B32BD81D1AD04207BF1E61E39A4E0E13",1AB248CB4A094A639B6DFF91A2B45CB3,,,,,http://localhost/InnovatorServer/client/default.aspx?StartItem=Part%3A1AB248CB4A094A639B6DFF91A2B45CB3,2014-05-05T15:56:49Z,Part,Innovator Admin,Should be same permission_id as 12346,5C07EB829D4241F6BB884952960FAF58,true,A,AI-B754B1A4D760411CB5112C4350E036C5,,,12347,,,,,,Full,31e1a24255eaaaab2ab641b4d988426b,,1506787191556145153,,,2015-07-15T18:17:13Z,Mike Perm Test,1,false,
12346 Mike Perm Test,2014-05-05T15:38:47Z,Preliminary,,Innovator Admin,,0.9416196,DEMO10,,,C4C6F89887224D659178353DA1B26B0A,,,AI-C4C6F89887224D659178353DA1B26B0A,Aras Innovator,"AI-56A96DA9E981481688563E2D14D5D878,AI-59C3B3567DA441529BB265886514C907,AI-2618D6F5A90949BAA7E920D1B04C7EE1,AI-66022731E81D4040A155F13CD083826A,AI-DBA5D86402BF43D5976854B8B48FCDD1,AI-B32BD81D1AD04207BF1E61E39A4E0E13",C4C6F89887224D659178353DA1B26B0A,,,,,http://localhost/InnovatorServer/client/default.aspx?StartItem=Part%3AC4C6F89887224D659178353DA1B26B0A,2014-05-05T15:38:47Z,Part,Innovator Admin,No Private Permission,5C07EB829D4241F6BB884952960FAF58,true,A,AI-B754B1A4D760411CB5112C4350E036C5,,,12346,,,,,,Full,31e1a24255eaaaab2ab641b4d988426b,,1506787191556145152,,,2015-07-15T18:17:13Z,Mike Perm Test,1,false,
12345 Mike's Part 1,2014-05-05T15:37:49Z,Preliminary,,Innovator Admin,,0.9407338,DEMO10,,Component,B7E4D3F152E44B2E83F30FC4EAF4B8B5,,,AI-A1793104E2D742D29F02C774E0856D5D,Aras Innovator,"AI-66022731E81D4040A155F13CD083826A,AI-B32BD81D1AD04207BF1E61E39A4E0E13,AI-2618D6F5A90949BAA7E920D1B04C7EE1,AI-9D60F00F5BE7445D9CE326667843E06A,AI-59C3B3567DA441529BB265886514C907,AI-DBA5D86402BF43D5976854B8B48FCDD1,AI-56A96DA9E981481688563E2D14D5D878",A1793104E2D742D29F02C774E0856D5D,,,,,http://localhost/InnovatorServer/client/default.aspx?StartItem=Part%3AB7E4D3F152E44B2E83F30FC4EAF4B8B5,2014-05-01T20:11:26Z,Part,Innovator Admin,"This part is used to check permissions
Includes a private permission for Mike Affronti",BC6F62500D5A4B988D1D95A3ACBD1B23,true,A,,,,12345,,,,,,Full,31e1a24255eaaaab2ab641b4d988426b,,1506787191555096577,,,2015-07-15T18:17:13Z,Mike's Part 1,3,false,
001-001002 Resistor,2014-04-21T12:23:02Z,Preliminary,,Innovator Admin,,0.9363296,DEMO10,,Component,AA5505F01C3C49E693D4626BCF5DFDC1,,,AI-AA5505F01C3C49E693D4626BCF5DFDC1,Aras Innovator,"AI-56A96DA9E981481688563E2D14D5D878,AI-59C3B3567DA441529BB265886514C907,AI-2618D6F5A90949BAA7E920D1B04C7EE1,AI-66022731E81D4040A155F13CD083826A,AI-DBA5D86402BF43D5976854B8B48FCDD1,AI-B32BD81D1AD04207BF1E61E39A4E0E13",AA5505F01C3C49E693D4626BCF5DFDC1,,,,,http://localhost/InnovatorServer/client/default.aspx?StartItem=Part%3AAA5505F01C3C49E693D4626BCF5DFDC1,2008-07-22T17:11:21Z,Part,Innovator Admin,,5C07EB829D4241F6BB884952960FAF58,true,A,AI-B754B1A4D760411CB5112C4350E036C5,,,001-001002,,,,,,Full,7e187245fe4b07d5cdb5f0a0c9a66a75,,1506787184393322497,,,2015-07-15T18:17:13Z,Resistor,1,false,
D-11222 Extruder Controller with Advanced PCBA,2014-04-17T17:34:23Z,Preliminary,,Innovator Admin,,0.9319664,DEMO10,,Assembly,5DBCB45876B041CA8AFAEA2B66074A47,,,AI-5DBCB45876B041CA8AFAEA2B66074A47,Aras Innovator,"AI-56A96DA9E981481688563E2D14D5D878,AI-59C3B3567DA441529BB265886514C907,AI-2618D6F5A90949BAA7E920D1B04C7EE1,AI-66022731E81D4040A155F13CD083826A,AI-DBA5D86402BF43D5976854B8B48FCDD1,AI-B32BD81D1AD04207BF1E61E39A4E0E13",5DBCB45876B041CA8AFAEA2B66074A47,,,,,http://localhost/InnovatorServer/client/default.aspx?StartItem=Part%3A5DBCB45876B041CA8AFAEA2B66074A47,2014-04-17T17:32:35Z,Part,Innovator Admin,This is the next generation controller for the new product line,5C07EB829D4241F6BB884952960FAF58,true,A,AI-B754B1A4D760411CB5112C4350E036C5,,,D-11222,,,,,,Full,55b2661ca5891b468a42d7b189591ffa,,1506787204544856065,,,2015-07-15T18:17:32Z,Extruder Controller with Advanced PCBA,1,false,
D-10000 3D Printer Assembly,2014-02-03T17:41:06Z,Preliminary,,Innovator Admin,,0.9310987,DEMO10,,Assembly,D4E10F5AA5A74A37A2A20D5847959B1A,,,AI-D71A4E2F4DF74EF0A8DBD9DF9DF7EB9E,Aras Innovator,"AI-56A96DA9E981481688563E2D14D5D878,AI-12CCBC1514844A1AB1F8549940C4C92F,AI-59C3B3567DA441529BB265886514C907,AI-2618D6F5A90949BAA7E920D1B04C7EE1,AI-66022731E81D4040A155F13CD083826A,AI-DBA5D86402BF43D5976854B8B48FCDD1,AI-6B14D33C4A7D41C188CCF2BC15BD01A3,AI-B32BD81D1AD04207BF1E61E39A4E0E13",D71A4E2F4DF74EF0A8DBD9DF9DF7EB9E,,,,,http://localhost/InnovatorServer/client/default.aspx?StartItem=Part%3AD4E10F5AA5A74A37A2A20D5847959B1A,2012-03-19T18:52:31Z,Part,Super User,3D Printer Assembly,5C07EB829D4241F6BB884952960FAF58,true,B,AI-B754B1A4D760411CB5112C4350E036C5,,,D-10000,Innovator Admin,,,,,Full,f85577956ca251c4696a1e81b7c01c82,,1506787197649420289,,,2015-07-15T18:17:20Z,3D Printer Assembly,6,false,Humberto Acevedo
D-24806 Thing-O-Matic Assembly,2014-02-03T17:37:43Z,Preliminary,,Innovator Admin,,0.9302326,DEMO10,,,18FF798EB0D2449091B37CE08BCD2398,,,AI-75C8D764334349A1B4E2D6535627CC49,Aras Innovator,"AI-56A96DA9E981481688563E2D14D5D878,AI-577FB281D524463B95151E38068608C4,AI-59C3B3567DA441529BB265886514C907,AI-2618D6F5A90949BAA7E920D1B04C7EE1,AI-66022731E81D4040A155F13CD083826A,AI-B32BD81D1AD04207BF1E61E39A4E0E13",75C8D764334349A1B4E2D6535627CC49,,,,,http://localhost/InnovatorServer/client/default.aspx?StartItem=Part%3A18FF798EB0D2449091B37CE08BCD2398,2012-03-17T02:26:17Z,Part,Terry Adams,,5C07EB829D4241F6BB884952960FAF58,true,B,AI-B754B1A4D760411CB5112C4350E036C5,,,D-24806,Terry Adams,,,,,Full,dbd9750b11ca3c3adaf417e9e142277a,,1506787204545904640,,,2015-07-15T18:17:32Z,Thing-O-Matic Assembly,6,false,Terry Adams
L-00-8136 Fire Crusher (2007),2013-05-10T10:15:28Z,Preliminary,,Innovator Admin,,0.92081034,DEMO10,,Assembly,BE7A9FB594AB4E87A0493EAB30BC2526,,,AI-23B0A4C776E343DA91B8ECA913668BC7,Aras Innovator,"AI-56A96DA9E981481688563E2D14D5D878,AI-59C3B3567DA441529BB265886514C907,AI-2618D6F5A90949BAA7E920D1B04C7EE1,AI-66022731E81D4040A155F13CD083826A,AI-355934804A6548CC8D320ED4ABBC8C53,AI-389D6E0BBE5045B48756A4BE3CA49314,AI-B32BD81D1AD04207BF1E61E39A4E0E13",23B0A4C776E343DA91B8ECA913668BC7,,,,,http://localhost/InnovatorServer/client/default.aspx?StartItem=Part%3ABE7A9FB594AB4E87A0493EAB30BC2526,2010-01-07T17:33:42Z,Part,Data Administrator,,5C07EB829D4241F6BB884952960FAF58,true,A,AI-B754B1A4D760411CB5112C4350E036C5,,,L-00-8136,Engineering2,,,,,Full,31e1a24255eaaaab2ab641b4d988426b,,1506787210303635457,,,2015-07-15T18:17:32Z,Fire Crusher (2007),3,false,
